Time,CH0,CH1,CH2,CH3
17.1436,2.17523e+07,274.976,270.805,271.327
17.1438,2.17543e+07,274.99,272.586,271.352
17.144,2.17563e+07,274.99,272.586,271.376
17.1442,2.17583e+07,274.868,274.052,271.428
17.1444,2.17603e+07,274.868,274.052,271.48
17.1446,2.17623e+07,274.968,272.376,271.498
17.1448,2.17643e+07,274.968,272.376,271.515
17.145,2.17663e+07,274.932,276.251,271.608
17.1452,2.17683e+07,274.932,276.251,271.699
17.1454,2.17703e+07,275.315,272.586,271.716
17.1456,2.17723e+07,275.315,272.586,271.733
17.1458,2.17743e+07,275.424,273.842,271.774
17.146,2.17763e+07,275.424,273.842,271.815
17.1462,2.17783e+07,275.355,270.177,271.783
17.1464,2.17803e+07,275.355,270.177,271.751
17.1466,2.17823e+07,275.388,267.559,271.669
17.1468,2.17843e+07,275.388,267.559,271.589
17.147,2.17863e+07,275.24,273.214,271.62
17.1472,2.17883e+07,275.24,273.214,271.652
17.1474,2.17903e+07,275.226,268.816,271.596
17.1476,2.17923e+07,275.226,268.816,271.542
17.1478,2.17943e+07,275.189,270.596,271.523
17.148,2.17963e+07,275.189,270.596,271.505
17.1482,2.17983e+07,275.31,270.805,271.491
17.1484,2.18003e+07,275.31,270.805,271.478
17.1486,2.18023e+07,275.156,272.376,271.495
17.1488,2.18043e+07,275.156,272.376,271.513
17.149,2.18063e+07,275.18,273.423,271.55
17.1492,2.18083e+07,275.18,273.423,271.587
17.1494,2.18103e+07,275.226,271.224,271.58
17.1496,2.18123e+07,275.226,271.224,271.573
17.1498,2.18143e+07,275.234,274.052,271.621
17.15,2.18163e+07,275.234,274.052,271.669
17.1502,2.18183e+07,275.287,271.434,271.664
17.1504,2.18203e+07,275.287,271.434,271.66
17.1506,2.18223e+07,275.222,272.795,271.682
17.1508,2.18243e+07,275.222,272.795,271.704
17.151,2.18263e+07,275.243,270.386,271.678
17.1512,2.18283e+07,275.243,270.386,271.653
17.1514,2.18303e+07,275.364,271.224,271.644
17.1516,2.18323e+07,275.364,271.224,271.636
17.1518,2.18343e+07,275.333,271.852,271.64
17.152,2.18363e+07,275.333,271.852,271.644
17.1522,2.18383e+07,275.398,272.586,271.663
17.1524,2.18403e+07,275.398,272.586,271.681
17.1526,2.18423e+07,275.294,273.214,271.711
17.1528,2.18443e+07,275.294,273.214,271.741
17.153,2.18463e+07,275.324,268.397,271.675
17.1532,2.18483e+07,275.324,268.397,271.611
17.1534,2.18503e+07,275.28,272.167,271.622
